Award Year,Category,Category Full Name,Date Awarded,Laureate Name,Known Name,Gender,Birth Date,Birth Place,Birth Country,Birth Continent,Identification,Motivation,Prize Amount,Prize Amount Adjusted
1903,Chemistry,The Nobel Prize in Chemistry,1903-11-12,Svante August Arrhenius,Svante Arrhenius,male,1859-02-19,Vik,Sweden,Europe,162,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation,141358,8830717
1903,Literature,The Nobel Prize in Literature,1903-11-19,Bjørnstjerne Martinus Bjørnson,Bjørnstjerne Bjørnson,male,1832-12-08,Kvikne,Norway,Europe,572,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",141358,8830717
1903,Peace,The Nobel Peace Prize,1903-12-10,William Randal Cremer,Randal Cremer,male,1828-03-18,Fareham,United Kingdom,Europe,466,for his longstanding and devoted effort in favour of the ideas of peace and arbitration,141358,8830717
1903,Physics,The Nobel Prize in Physics,1903-11-12,Antoine Henri Becquerel,Henri Becquerel,male,1852-12-15,Paris,France,Europe,4,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,141358,8830717
1903,Physics,The Nobel Prize in Physics,1903-11-12,Pierre Curie,Pierre Curie,male,1859-05-15,Paris,France,Europe,5,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,141358,8830717
1903,Physics,The Nobel Prize in Physics,1903-11-12,"Marie Curie, née Skłodowska",Marie Curie,female,1867-11-07,Warsaw,Russian Empire,Europe,6,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,141358,8830717
1903,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1903-10-15,Niels Ryberg Finsen,Niels Ryberg Finsen,male,1860-12-15,Thorshavn,Faroe Islands (Denmark),Europe,295,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science",141358,8830717
1904,Chemistry,The Nobel Prize in Chemistry,1904-11-08,Sir William Ramsay,Sir William Ramsay,male,1852-10-02,Glasgow,Scotland,Europe,163,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system",140859,8799545
1904,Literature,The Nobel Prize in Literature,1904-11-17,Frédéric Mistral,Frédéric Mistral,male,1830-09-08,Maillane,France,Europe,573,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist",140859,8799545
1904,Literature,The Nobel Prize in Literature,1904-11-17,José Echegaray y Eizaguirre,José Echegaray,male,1832-04-19,Madrid,Spain,Europe,574,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama",140859,8799545
1904,Peace,The Nobel Peace Prize,1904-12-10,,N/A,Unknown,Unknown,Unknown,Unknown,Unknown,467,for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane,140859,8799545
1904,Physics,The Nobel Prize in Physics,1904-11-08,Lord Rayleigh (John William Strutt),Lord Rayleigh,male,1842-11-12,"Langford Grove, Maldon, Essex",United Kingdom,Europe,8,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,140859,8799545
1904,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1904-10-20,Ivan Petrovich Pavlov,Ivan Pavlov,male,1849-09-14,Ryazan,Russia,Europe,296,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged",140859,8799545
1905,Chemistry,The Nobel Prize in Chemistry,,Johann Friedrich Wilhelm Adolf von Baeyer,Adolf von Baeyer,male,1835-10-31,Berlin,Prussia,Europe,164,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",138089,8626501
1905,Literature,The Nobel Prize in Literature,,Henryk Sienkiewicz,Henryk Sienkiewicz,male,1846-05-05,Wola Okrzejska,Poland,Europe,575,because of his outstanding merits as an epic writer,138089,8626501
1905,Peace,The Nobel Peace Prize,1905-12-10,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",Bertha von Suttner,female,1843-06-09,Prague,Austrian Empire,Europe,468,for her audacity to oppose the horrors of war,138089,8626501
1905,Physics,The Nobel Prize in Physics,,Philipp Eduard Anton von Lenard,Philipp Lenard,male,1862-06-07,Pressburg,Hungary,Europe,9,for his work on cathode rays,138089,8626501
1905,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,,Robert Koch,Robert Koch,male,1843-12-11,Clausthal,Germany,Europe,297,for his investigations and discoveries in relation to tuberculosis,138089,8626501
1906,Chemistry,The Nobel Prize in Chemistry,1906-11-12,Henri Moissan,Henri Moissan,male,1852-09-28,Paris,France,Europe,165,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him",138536,8407156
1906,Literature,The Nobel Prize in Literature,1906-11-08,Giosuè Carducci,Giosuè Carducci,male,1835-07-27,Val di Castello,Tuscany,Europe,576,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces",138536,8407156
1906,Peace,The Nobel Peace Prize,1906-12-10,Theodore Roosevelt Jr.,Theodore Roosevelt,male,1858-10-27,"New York, NY",USA,North America,470,"for his role in bringing to an end the bloody war recently waged between two of the world's great powers, Japan and Russia",138536,8407156
1906,Physics,The Nobel Prize in Physics,1906-11-12,Joseph John Thomson,J.J. Thomson,male,1856-12-18,Cheetham Hill,United Kingdom,Europe,10,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases,138536,8407156
1906,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1906-10-25,Camillo Golgi,Camillo Golgi,male,1843-07-07,Corteno,Italy,Europe,298,in recognition of their work on the structure of the nervous system,138536,8407156
1906,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1906-10-25,Santiago Ramón y Cajal,Santiago Ramón y Cajal,male,1852-05-01,Petilla de Aragón,Spain,Europe,299,in recognition of their work on the structure of the nervous system,138536,8407156
1907,Chemistry,The Nobel Prize in Chemistry,1907-11-12,Eduard Buchner,Eduard Buchner,male,1860-05-20,Munich,Bavaria,Europe,166,for his biochemical researches and his discovery of cell-free fermentation,138796,7967641
1907,Literature,The Nobel Prize in Literature,1907-11-07,Rudyard Kipling,Rudyard Kipling,male,1865-12-30,Bombay,British India,Asia,577,"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author",138796,7967641
1907,Peace,The Nobel Peace Prize,1907-12-10,Ernesto Teodoro Moneta,Ernesto Teodoro Moneta,male,1833-09-20,Milan,Austrian Empire,Europe,471,"for his work in the press and in peace meetings, both public and private, for an understanding between France and Italy",138796,7967641
1907,Peace,The Nobel Peace Prize,1907-12-10,Louis Renault,Louis Renault,male,1843-05-21,Autun,France,Europe,472,for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences,138796,7967641
1907,Physics,The Nobel Prize in Physics,1907-11-12,Albert Abraham Michelson,Albert A. Michelson,male,1852-12-19,Strelno,Prussia,Europe,11,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,138796,7967641
1907,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1907-10-31,Charles Louis Alphonse Laveran,Alphonse Laveran,male,1845-06-18,Paris,France,Europe,300,in recognition of his work on the role played by protozoa in causing diseases,138796,7967641
1908,Chemistry,The Nobel Prize in Chemistry,1908-11-10,Ernest Rutherford,Ernest Rutherford,male,1871-08-30,Nelson,New Zealand,Oceania,167,"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances",139800,8025276
1908,Literature,The Nobel Prize in Literature,1908-11-12,Rudolf Christoph Eucken,Rudolf Eucken,male,1846-01-05,Aurich,East Friesland,Europe,578,"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life",139800,8025276
1908,Peace,The Nobel Peace Prize,1908-12-10,Klas Pontus Arnoldson,Klas Pontus Arnoldson,male,1844-10-27,Gothenburg,Sweden,Europe,473,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",139800,8025276
1908,Peace,The Nobel Peace Prize,1908-12-10,Fredrik Bajer,Fredrik Bajer,male,1837-04-21,Næstved,Denmark,Europe,474,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",139800,8025276
1908,Physics,The Nobel Prize in Physics,1908-11-10,Gabriel Lippmann,Gabriel Lippmann,male,1845-08-16,Hollerich,Luxembourg,Europe,12,for his method of reproducing colours photographically based on the phenomenon of interference,139800,8025276
1908,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1908-10-29,Ilya Ilyich Mechnikov,Ilya Mechnikov,male,1845-05-15,Kharkov,Russian Empire,Europe,301,in recognition of their work on immunity,139800,8025276
1908,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1908-10-29,Paul Ehrlich,Paul Ehrlich,male,1854-03-14,Strehlen,Prussia,Europe,302,in recognition of their work on immunity,139800,8025276
1909,Chemistry,The Nobel Prize in Chemistry,1909-11-09,Wilhelm Ostwald,Wilhelm Ostwald,male,1853-09-02,Riga,Russian Empire,Europe,168,in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction,139800,8025276
1909,Literature,The Nobel Prize in Literature,1909-11-11,Selma Ottilia Lovisa Lagerlöf,Selma Lagerlöf,female,1858-11-20,Mårbacka,Sweden,Europe,579,"in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings",139800,8025276
1909,Peace,The Nobel Peace Prize,1909-12-10,Auguste Marie François Beernaert,Auguste Beernaert,male,1829-07-26,Ostend,Belgium,Europe,475,for their prominent position in the international movement for peace and arbitration,139800,8025276
1909,Peace,The Nobel Peace Prize,1909-12-10,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",Paul Henri d'Estournelles de Constant,male,1852-11-22,La Flèche,France,Europe,476,for their prominent position in the international movement for peace and arbitration,139800,8025276
1909,Physics,The Nobel Prize in Physics,1909-11-09,Guglielmo Marconi,Guglielmo Marconi,male,1874-04-25,Bologna,Italy,Europe,13,in recognition of their contributions to the development of wireless telegraphy,139800,8025276
1909,Physics,The Nobel Prize in Physics,1909-11-09,Karl Ferdinand Braun,Ferdinand Braun,male,1850-06-06,Fulda,Hesse-Kassel,Europe,14,in recognition of their contributions to the development of wireless telegraphy,139800,8025276
1909,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1909-10-28,Emil Theodor Kocher,Theodor Kocher,male,1841-08-25,Bern,Switzerland,Europe,303,"for his work on the physiology, pathology and surgery of the thyroid gland",139800,8025276
1910,Chemistry,The Nobel Prize in Chemistry,1910-11-12,Otto Wallach,Otto Wallach,male,1847-03-27,Koenigsberg,Germany,Europe,169,in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds,140703,8077113
1910,Literature,The Nobel Prize in Literature,1910-11-10,Paul Johann Ludwig Heyse,Paul Heyse,male,1830-03-15,Berlin,Prussia,Europe,580,"as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories",140703,8077113
1910,Peace,The Nobel Peace Prize,1910-12-10,,N/A,Unknown,Unknown,Unknown,Unknown,Unknown,477,"for acting as a link between the peace societies of the various countries, and helping them to organize the world rallies of the international peace movement",140703,8077113
1910,Physics,The Nobel Prize in Physics,1910-11-05,Johannes Diderik van der Waals,Johannes Diderik van der Waals,male,1837-11-23,Leiden,the Netherlands,Europe,15,for his work on the equation of state for gases and liquids,140703,8077113
1910,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1910-10-20,Albrecht Kossel,Albrecht Kossel,male,1853-09-16,Rostock,Mecklenburg,Europe,304,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",140703,8077113
1911,Chemistry,The Nobel Prize in Chemistry,1911-11-07,"Marie Curie, née Skłodowska",Marie Curie,female,1867-11-07,Warsaw,Russian Empire,Europe,6,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element",140695,8301005
1911,Literature,The Nobel Prize in Literature,1911-11-09,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,Maurice Maeterlinck,male,1862-08-29,Ghent,Belgium,Europe,581,"in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations",140695,8301005
1911,Peace,The Nobel Peace Prize,1911-12-10,Tobias Michael Carel Asser,Tobias Asser,male,1838-04-28,Amsterdam,the Netherlands,Europe,478,"for his role as co-founder of the Institut de droit international, initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague, and pioneer in the field of international legal relations",140695,8301005
1911,Peace,The Nobel Peace Prize,1911-12-10,Alfred Hermann Fried,Alfred Fried,male,1864-11-11,Vienna,Austria,Europe,479,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations",140695,8301005
1911,Physics,The Nobel Prize in Physics,1911-11-07,Wilhelm Wien,Wilhelm Wien,male,1864-01-13,Gaffken,Prussia,Europe,16,for his discoveries regarding the laws governing the radiation of heat,140695,8301005
1911,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1911-10-19,Allvar Gullstrand,Allvar Gullstrand,male,1862-06-05,Landskrona,Sweden,Europe,305,for his work on the dioptrics of the eye,140695,8301005
1912,Chemistry,The Nobel Prize in Chemistry,1912-11-12,Victor Grignard,Victor Grignard,male,1871-05-06,Cherbourg,France,Europe,172,"for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry",140476,7650539
1912,Chemistry,The Nobel Prize in Chemistry,1912-11-12,Paul Sabatier,Paul Sabatier,male,1854-11-05,Carcassonne,France,Europe,173,for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years,140476,7650539
1912,Literature,The Nobel Prize in Literature,1912-11-14,Gerhart Johann Robert Hauptmann,Gerhart Hauptmann,male,1862-11-15,Bad Salzbrunn,Prussia,Europe,582,"primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art",140476,7650539
1912,Peace,The Nobel Peace Prize,1913-12-10,Elihu Root,Elihu Root,male,1845-02-15,"Clinton, NY",USA,North America,480,for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries,140476,7650539
1912,Physics,The Nobel Prize in Physics,1912-11-12,Nils Gustaf Dalén,Gustaf Dalén,male,1869-11-30,Stenstorp,Sweden,Europe,17,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys,140476,7650539
1912,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1912-10-10,Alexis Carrel,Alexis Carrel,male,1873-06-28,Sainte-Foy-lès-Lyon,France,Europe,306,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,140476,7650539
1913,Chemistry,The Nobel Prize in Chemistry,1913-11-11,Alfred Werner,Alfred Werner,male,1866-12-12,Mulhouse,France,Europe,174,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,143010,7788545
1913,Literature,The Nobel Prize in Literature,1913-11-13,Rabindranath Tagore,Rabindranath Tagore,male,1861-05-07,Calcutta,India,Asia,583,"because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West",143010,7788545
1913,Peace,The Nobel Peace Prize,1913-12-10,Henri La Fontaine,Henri La Fontaine,male,1854-04-22,Brussels,Belgium,Europe,481,for his unparalleled contribution to the organization of peaceful internationalism,143010,7788545
1913,Physics,The Nobel Prize in Physics,1913-11-11,Heike Kamerlingh Onnes,Heike Kamerlingh Onnes,male,1853-09-21,Groningen,the Netherlands,Europe,18,"for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium",143010,7788545
1913,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1913-10-30,Charles Robert Richet,Charles Richet,male,1850-08-26,Paris,France,Europe,307,in recognition of his work on anaphylaxis,143010,7788545
1914,Chemistry,The Nobel Prize in Chemistry,1915-11-11,Theodore William Richards,Theodore W. Richards,male,1868-01-31,"Germantown, PA",USA,North America,175,in recognition of his accurate determinations of the atomic weight of a large number of chemical elements,146900,8000400
1914,Physics,The Nobel Prize in Physics,1915-11-11,Max von Laue,Max von Laue,male,1879-10-09,Pfaffendorf,Germany,Europe,19,for his discovery of the diffraction of X-rays by crystals,146900,8000400
1914,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1915-10-29,Robert Bárány,Robert Bárány,male,1876-04-22,Vienna,Austria,Europe,308,for his work on the physiology and pathology of the vestibular apparatus,146900,8000400
1915,Chemistry,The Nobel Prize in Chemistry,1915-11-11,Richard Martin Willstätter,Richard Willstätter,male,1872-08-13,Karlsruhe,Germany,Europe,176,"for his researches on plant pigments, especially chlorophyll",149223,7043326
1915,Literature,The Nobel Prize in Literature,1916-11-09,Romain Rolland,Romain Rolland,male,1866-01-29,Clamecy,France,Europe,584,as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings,149223,7043326
1915,Physics,The Nobel Prize in Physics,1915-11-12,Sir William Henry Bragg,William Bragg,male,1862-07-02,Wigton,United Kingdom,Europe,20,for their services in the analysis of crystal structure by means of X-rays,149223,7043326
1915,Physics,The Nobel Prize in Physics,1915-11-12,William Lawrence Bragg,Lawrence Bragg,male,1890-03-31,Adelaide,Australia,Oceania,21,for their services in the analysis of crystal structure by means of X-rays,149223,7043326
1916,Literature,The Nobel Prize in Literature,1916-11-09,Carl Gustaf Verner von Heidenstam,Verner von Heidenstam,male,1859-07-06,Olshammar,Sweden,Europe,585,in recognition of his significance as the leading representative of a new era in our literature,131793,5488791
1917,Literature,The Nobel Prize in Literature,1917-11-08,Karl Adolph Gjellerup,Karl Gjellerup,male,1857-06-02,Roholte,Denmark,Europe,586,"for his varied and rich poetry, which is inspired by lofty ideals",133823,4441251
1917,Literature,The Nobel Prize in Literature,1917-11-08,Henrik Pontoppidan,Henrik Pontoppidan,male,1857-07-24,Fredericia,Denmark,Europe,587,for his authentic descriptions of present-day life in Denmark,133823,4441251
1917,Peace,The Nobel Peace Prize,1917-12-10,,N/A,Unknown,Unknown,Unknown,Unknown,Unknown,482,for the efforts to take care of wounded soldiers and prisoners of war and their families,133823,4441251
1917,Physics,The Nobel Prize in Physics,1918-11-12,Charles Glover Barkla,Charles Glover Barkla,male,1877-06-07,Widnes,United Kingdom,Europe,22,for his discovery of the characteristic R&ouml;ntgen radiation of the elements,133823,4441251
1918,Chemistry,The Nobel Prize in Chemistry,1919-11-13,Fritz Haber,Fritz Haber,male,1868-12-09,Breslau,Prussia,Europe,177,for the synthesis of ammonia from its elements,138198,3225632
1918,Physics,The Nobel Prize in Physics,1919-11-13,Max Karl Ernst Ludwig Planck,Max Planck,male,1858-04-23,Kiel,Schleswig,Europe,23,in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta,138198,3225632
1919,Literature,The Nobel Prize in Literature,1920-11-11,Carl Friedrich Georg Spitteler,Carl Spitteler,male,1845-04-24,Liestal,Switzerland,Europe,588,"in special appreciation of his epic, <I>Olympian Spring</I>",133127,2692969
1919,Peace,The Nobel Peace Prize,1920-12-10,Thomas Woodrow Wilson,Woodrow Wilson,male,1856-12-28,"Staunton, VA",USA,North America,483,for his role as founder of the League of Nations,133127,2692969
1919,Physics,The Nobel Prize in Physics,1919-11-13,Johannes Stark,Johannes Stark,male,1874-04-15,Schickenhof,Germany,Europe,24,for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields,133127,2692969
1919,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1920-10-28,Jules Bordet,Jules Bordet,male,1870-06-13,Soignies,Belgium,Europe,309,for his discoveries relating to immunity,133127,2692969
1920,Chemistry,The Nobel Prize in Chemistry,1921-11-10,Walther Hermann Nernst,Walther Nernst,male,1864-06-25,Briesen,Prussia,Europe,178,in recognition of his work in thermochemistry,134100,2712651
1920,Literature,The Nobel Prize in Literature,1920-11-11,Knut Pedersen Hamsun,Knut Hamsun,male,1859-08-04,Lom,Norway,Europe,589,"for his monumental work, <I>Growth of the Soil</I>",134100,2712651
1920,Peace,The Nobel Peace Prize,1920-12-10,Léon Victor Auguste Bourgeois,Léon Bourgeois,male,1851-05-21,Paris,France,Europe,484,for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations,134100,2712651
1920,Physics,The Nobel Prize in Physics,1920-11-11,Charles Edouard Guillaume,Charles Edouard Guillaume,male,1861-02-15,Fleurier,Switzerland,Europe,25,in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys,134100,2712651
1920,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1920-10-28,Schack August Steenberg Krogh,August Krogh,male,1874-11-15,Grenå,Denmark,Europe,310,for his discovery of the capillary motor regulating mechanism,134100,2712651
1921,Chemistry,The Nobel Prize in Chemistry,1922-11-09,Frederick Soddy,Frederick Soddy,male,1877-09-02,Eastbourne,United Kingdom,Europe,179,"for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes",121573,2869123
1921,Literature,The Nobel Prize in Literature,1921-11-10,Anatole France,Anatole France,male,1844-04-16,Paris,France,Europe,590,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament",121573,2869123
1921,Peace,The Nobel Peace Prize,1921-12-10,Karl Hjalmar Branting,Hjalmar Branting,male,1860-11-23,Stockholm,Sweden,Europe,485,for their lifelong contributions to the cause of peace and organized internationalism,121573,2869123
1921,Peace,The Nobel Peace Prize,1921-12-10,Christian Lous Lange,Christian Lange,male,1869-09-17,Stavanger,Norway,Europe,486,for their lifelong contributions to the cause of peace and organized internationalism,121573,2869123
1921,Physics,The Nobel Prize in Physics,1922-11-09,Albert Einstein,Albert Einstein,male,1879-03-14,Ulm,Germany,Europe,26,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",121573,2869123
1922,Chemistry,The Nobel Prize in Chemistry,1922-11-09,Francis William Aston,Francis W. Aston,male,1877-09-01,Harborne,United Kingdom,Europe,180,"for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule",122483,3563752
1922,Literature,The Nobel Prize in Literature,1922-11-09,Jacinto Benavente,Jacinto Benavente,male,1866-08-12,Madrid,Spain,Europe,592,for the happy manner in which he has continued the illustrious traditions of the Spanish drama,122483,3563752
1922,Peace,The Nobel Peace Prize,1922-12-10,Fridtjof Nansen,Fridtjof Nansen,male,1861-10-10,Kristiania,Norway,Europe,487,"for his leading role in the repatriation of prisoners of war, in international relief work and as the League of Nations' High Commissioner for refugees",122483,3563752
1922,Physics,The Nobel Prize in Physics,1922-11-09,Niels Henrik David Bohr,Niels Bohr,male,1885-10-07,Copenhagen,Denmark,Europe,27,for his services in the investigation of the structure of atoms and of the radiation emanating from them,122483,3563752
1922,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1922-10-25,Archibald Vivian Hill,Archibald V. Hill,male,1886-09-26,Bristol,United Kingdom,Europe,311,for his discovery relating to the production of heat in the muscle,122483,3563752
1922,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1922-10-25,Otto Fritz Meyerhof,Otto Meyerhof,male,1884-04-12,Hanover,Germany,Europe,312,for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle,122483,3563752
1923,Chemistry,The Nobel Prize in Chemistry,1923-11-13,Fritz Pregl,Fritz Pregl,male,1869-09-03,Laibach,Austria-Hungary,Europe,181,for his invention of the method of micro-analysis of organic substances,114935,3590029
1923,Literature,The Nobel Prize in Literature,1923-11-14,William Butler Yeats,William Butler Yeats,male,1865-06-13,Dublin,Ireland,Europe,593,"for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation",114935,3590029
1923,Physics,The Nobel Prize in Physics,1923-11-13,Robert Andrews Millikan,Robert A. Millikan,male,1868-03-22,"Morrison, IL",USA,North America,28,for his work on the elementary charge of electricity and on the photoelectric effect,114935,3590029
